2013-01-15 19:55:14 startup archives unpack
2013-01-15 19:55:15 upgrade libfreetype6 2.3.11-1ubuntu2.6 2.3.11-1ubuntu2.7
2013-01-15 19:55:15 status half-configured libfreetype6 2.3.11-1ubuntu2.6
2013-01-15 19:55:15 status unpacked libfreetype6 2.3.11-1ubuntu2.6
2013-01-15 19:55:15 status half-installed libfreetype6 2.3.11-1ubuntu2.6
2013-01-15 19:55:15 status half-installed libfreetype6 2.3.11-1ubuntu2.6
2013-01-15 19:55:15 status unpacked libfreetype6 2.3.11-1ubuntu2.7
2013-01-15 19:55:15 status unpacked libfreetype6 2.3.11-1ubuntu2.7
2013-01-15 19:55:15 startup packages configure
2013-01-15 19:55:15 configure libfreetype6 2.3.11-1ubuntu2.7 2.3.11-1ubuntu2.7
2013-01-15 19:55:15 status unpacked libfreetype6 2.3.11-1ubuntu2.7
2013-01-15 19:55:15 status half-configured libfreetype6 2.3.11-1ubuntu2.7
2013-01-15 19:55:15 status installed libfreetype6 2.3.11-1ubuntu2.7
2013-01-15 19:55:15 status triggers-pending libc-bin 2.11.1-0ubuntu7.11
2013-01-15 19:55:15 trigproc libc-bin 2.11.1-0ubuntu7.11 2.11.1-0ubuntu7.11
2013-01-15 19:55:15 status half-configured libc-bin 2.11.1-0ubuntu7.11
2013-01-15 19:55:15 status installed libc-bin 2.11.1-0ubuntu7.11
2013-02-14 00:14:26 startup archives unpack
2013-02-14 00:14:27 install sgml-base <none> 1.26
2013-02-14 00:14:27 status half-installed sgml-base 1.26
2013-02-14 00:14:27 status triggers-pending man-db 2.5.7-2ubuntu1
2013-02-14 00:14:27 status half-installed sgml-base 1.26
2013-02-14 00:14:27 status unpacked sgml-base 1.26
2013-02-14 00:14:27 status unpacked sgml-base 1.26
2013-02-14 00:14:27 install xml-core <none> 0.13
2013-02-14 00:14:27 status half-installed xml-core 0.13
2013-02-14 00:14:27 status half-installed xml-core 0.13
2013-02-14 00:14:27 status unpacked xml-core 0.13
2013-02-14 00:14:27 status unpacked xml-core 0.13
2013-02-14 00:14:27 install sgml-data <none> 2.0.4
2013-02-14 00:14:27 status half-installed sgml-data 2.0.4
2013-02-14 00:14:27 status unpacked sgml-data 2.0.4
2013-02-14 00:14:27 status unpacked sgml-data 2.0.4
2013-02-14 00:14:27 trigproc man-db 2.5.7-2ubuntu1 2.5.7-2ubuntu1
2013-02-14 00:14:27 status half-configured man-db 2.5.7-2ubuntu1
2013-02-14 00:14:28 status installed man-db 2.5.7-2ubuntu1
2013-02-14 00:14:28 startup packages configure
2013-02-14 00:14:28 configure sgml-base 1.26 1.26
2013-02-14 00:14:28 status unpacked sgml-base 1.26
2013-02-14 00:14:28 status half-configured sgml-base 1.26
2013-02-14 00:14:28 status installed sgml-base 1.26
2013-02-14 00:14:28 configure xml-core 0.13 0.13
2013-02-14 00:14:28 status unpacked xml-core 0.13
2013-02-14 00:14:28 status half-configured xml-core 0.13
2013-02-14 00:14:28 status installed xml-core 0.13
2013-02-14 00:14:28 startup archives unpack
2013-02-14 00:14:29 install docbook-xml <none> 4.5-7
2013-02-14 00:14:29 status half-installed docbook-xml 4.5-7
2013-02-14 00:14:29 status unpacked docbook-xml 4.5-7
2013-02-14 00:14:29 status unpacked docbook-xml 4.5-7
2013-02-14 00:14:29 install foomatic-filters <none> 4.0.4-0ubuntu1.1
2013-02-14 00:14:29 status half-installed foomatic-filters 4.0.4-0ubuntu1.1
2013-02-14 00:14:29 status triggers-pending man-db 2.5.7-2ubuntu1
2013-02-14 00:14:29 status half-installed foomatic-filters 4.0.4-0ubuntu1.1
2013-02-14 00:14:29 status unpacked foomatic-filters 4.0.4-0ubuntu1.1
2013-02-14 00:14:29 status unpacked foomatic-filters 4.0.4-0ubuntu1.1
2013-02-14 00:14:29 install libavahi-common-data <none> 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status half-installed libavahi-common-data 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status unpacked libavahi-common-data 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status unpacked libavahi-common-data 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 install libavahi-common3 <none> 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status half-installed libavahi-common3 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status unpacked libavahi-common3 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status unpacked libavahi-common3 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 install libavahi-client3 <none> 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status half-installed libavahi-client3 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status unpacked libavahi-client3 0.6.25-1ubuntu6.2
2013-02-14 00:14:29 status unpacked libavahi-client3 0.6.25-1ubuntu6.2
